Album,Musica,Letra
Night Visions,Nothing Left to Say / Rocks,"Who knows how long I’ve been awake now? The shadows on my wall don’t sleep They keep calling me, beckoning Who knows what’s right? The lines keep getting thinner My age has never made me wise But I keep pushing on and on and on and on  There’s nothing left to say now (oh) There’s nothing left to say now I’m giving up, giving up, giving up now I’m giving up, giving up, giving up now There’s nothing left to say now (oh) There’s nothing left to say now I’m giving up, giving up, he he, giving up now I’m giving up, giving up, he he, giving up now Below my soul I feel an engine Collapsing as it sees the pain If I could only shut it out I’ve come too far To see the end now Even if my way is wrong I keep pushing on and on and on and on There’s nothing left to say now (oh) There’s nothing left to say now I’m giving up, giving up, he he, giving up now I’m giving up, giving up, he he, giving up now There’s nothing left to say now  (oh) There’s nothing left to say now I’m giving up, giving up, giving up now I’m giving up, giving up, giving up now I keep falling, I keep falling down I keep falling, I keep falling down I keep falling, I keep falling down I keep falling, I keep falling down If you could only save me I’m drowning in the waters of my soul There’s nothing left to say now  (oh) There’s nothing left to say now I’m giving up, giving up, giving up now I’m giving up, giving up, giving up now There’s nothing left to say now  (oh) There’s nothing left to say now I’m giving up, giving up, giving up now I’m giving up, giving up, giving up now "
Night Visions,Cha-Ching (Till We Grow Older),"I don’t sleep so well at night I'm waiting up and shivering Heater's gone and money’s tight In this little home that I’m living in You’ve gotta live your life While your blood is boiling Those doors won’t open While you stand and watch them Oh-oh-oh What is with you? Oh-oh-oh I’ve never seen this side of you Oh-oh-oh What is with you? Oh-oh-oh I’ve never seen this side of you We are all living Till we grow older You be the worker, I’ll be the soldier I never hear those sounds that sing to me Cha ching, cha ching, cha ching-a-ling I never hear those sounds that sing to me Cha ching, cha ching, cha ching-a-ling I don’t think it’s quite the same Just running out to feel the rain Staring as the stars parade Are they telling me it’s gonna be ok? You’ve gotta live your life While your blood is boiling Those doors won’t open While you stand and watch them Oh-oh-oh What is with you? Oh-oh-oh I’ve never seen this side of you Oh-oh-oh What is with you? Oh-oh-oh I’ve never seen this side of you We are all living Till we grow older You be the worker, I’ll be the soldier I never hear those sounds that sing to me Cha ching, cha ching, cha ching-a-ling I never hear those sounds that sing to me Cha ching, cha ching, cha ching-a-ling We are all living Till we grow older You be the worker, I’ll be the soldier I never hear those sounds that sing to me Cha ching, cha ching, cha ching-a-ling I never hear those sounds that sing to me Cha ching, cha ching, cha ching-a-ling "
Night Visions,Working Man,"Shake it, shake it And we’re moving again Been a long time coming For the working man So shake it, shake it And we’re moving again When the money is high We can start to spend Shake it, shake it And we’re moving again Been a long time coming For the working man So shake it, shake it And we’re moving again When the money is high We can start to spend Shake it Every little bit goes a little of a long way Life gets hard and I’m headed For the highway home Caught up in the middle Of a headache and heartbreak Just when I thought I was clear of the mistakes No, no oh oh So tell me, tell me, tell me What am I to do? I think that this life is Darker than the view So help me, help me, help me Be a little more like you When everything is falling I’m gonna do the things you do Shake it, shake it And we’re moving again Been a long time coming For the working man So shake it, shake it And we’re moving again When the money is high We can start to spend Shake it, shake it And we’re moving again Been a long time coming For the working man So shake it, shake it And we’re moving again When the money is high We can start to spend Shake it Everything is serious And everything is fatal That’s what they tell you And that’s how they make you know I’m tired of the books And I’m tired of the tables Everything is made With the same old labels So tell me, tell me, tell me What am I to do? I think that this life is darker than the view So help me, help me, help me Be a little more like you When everything is falling I’m gonna do the things you do Shake it, shake it And we’re moving again Been a long time coming For the working man So shake it, shake it And we’re moving again When the money is high We can start to spend Shake it "
Evolve,I Don't Know Why,"We could be strangers in the night We could be passing in the shadows We couldn't be closer if we tried When we're caught in the headlights We could be faces in the crowd We could be passin' in the shadows Lovin' the risk of bein' found When we're caught in the headlights Dangerous Your love is always dangerous And now I'm lost in us We're livin' in a lie of trust I don't know why But I guess it's got something to do with you To do with you I don't know why But I guess it's got something to do with you To do with you I was a faking alibi Trading the truth in for a lie, oh We were the essence of desire And were caught in the headlights Dangerous Your love is always dangerous And now I'm lost in us We're livin' in a lie of trust I don't know why But I guess it's got something to do with you To do with you I don't know why But I guess it's got something to do with you To do with you I don't know why But I guess it's got something to do with you To do with you I don't know why But I guess it's got something to do with you To do with you Tell me that you love me Tell me that you love me Tell me that you love me Tell me that you love me Dangerous Tell me that you love me Tell me that you love me Your love is always dangerous Tell me that you love me I don't know why I don't know why But I guess it's got something to do with you To do with you I don't know why But I guess it's got something to do with you To do with you I don't know why But I guess it's got something to do with you To do with you I don't know why But I guess it's got something to do with you To do with you "
Evolve,Whatever It Takes,"Falling too fast to prepare for this Tripping in the world could be dangerous Everybody circling, it's vulturous Negative, nepotist Everybody waiting for the fall of man Everybody praying for the end of times Everybody hoping they could be the one I was born to run, I was born for this Whip, whip Run me like a race horse Pull me like a ripcord Break me down and build me up I wanna be the slip, slip Word upon your lip, lip Letter that you rip, rip Break me down and build me up Whatever it takes 'Cause I love the adrenaline in my veins I do whatever it takes 'Cause I love how it feels when I break the chains Whatever it takes You take me to the top, I'm ready for Whatever it takes 'Cause I love the adrenaline in my veins I do what it takes Always had a fear of being typical Looking at my body feeling miserable Always hanging on to the visual I wanna be invisible Looking at my years like a martyrdom Everybody needs to be a part of 'em Never be enough, I'm the prodigal son I was born to run, I was born for this Whip, whip Run me like a race horse Pull me like a ripcord Break me down and build me up I wanna be the slip, slip Word upon your lip, lip Letter that you rip, rip Break me down and build me up Whatever it takes 'Cause I love the adrenaline in my veins I do whatever it takes 'Cause I love how it feels when I break the chains Whatever it takes You take me to the top, I'm ready for Whatever it takes 'Cause I love the adrenaline in my veins I do what it takes Hypocritical, egotistical Don't wanna be the parenthetical, hypothetical Working onto something that I'm proud of, out of the box An epoxy to the world and the vision we've lost I'm an apostrophe I'm just a symbol to remind you that there's more to see I'm just a product of the system, a catastrophe And yet a masterpiece, and yet I'm half-diseased And when I am deceased At least I go down to the grave and die happily Leave the body of my soul to be a part of me I do what it takes Whatever it takes 'Cause I love the adrenaline in my veins I do whatever it takes 'Cause I love how it feels when I break the chains Whatever it takes You take me to the top, I'm ready for Whatever it takes 'Cause I love the adrenaline in my veins I do what it takes "
Evolve,Believer,"First things first I'ma say all the words inside my head I'm fired up and tired of the way That things have been, oh-ooh The way that things have been, oh-ooh Second things second Don't you tell me what you think that I could be I'm the one at the sail, I'm the master of my sea, oh-ooh The master of my sea, oh-ooh I was broken from a young age Taking my sulking to the masses Writing my poems for the few That look at me, took to me, shook to me, feeling me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they came from Pain! You made me a, you made me a believer, believer Third things third Send a prayer to the ones up above All the hate that you've heard Has turned your spirit to a dove, oh-ooh Your spirit up above, oh-ooh I was choking in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings, they would drown But they never did, ever lived, ebbing and flowing Inhibited, limited Till it broke open and rained down And rained down, like Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they  came from Pain! You made me a, you made me a believer, believer Last things last By the grace of the fire and the flames You're the face of the future The blood in my veins, oh-ooh The blood in my veins, oh-ooh But they never did, ever lived, ebbing and flowing Inhibited, limited Till it broke open and rained down And rained down, like Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they  came from Pain! You made me a, you made me a believer, believer "
Evolve,Walking the Wire,"Do you feel the same when I'm away from you? (Ooh, ooh) Do you know the line that I'd walk for you? (Ooh, ooh) We could turn around, or we could give it up But we'll take what comes, take what comes Oh, the storm is raging against us now (ooh, ooh) If you're afraid of falling, then don't look down (ooh, ooh) But we took the step, oh, we took the leap And we'll take what comes, take what comes Feel the wind in your hair Feel the rush way up here We're walking the wire, love We're walking the wire, love We couldn't be higher, up We're walking the wire, wire, wire There's nights we had that just walk away (ooh, ooh) And there's tears we'll cry, but those tears will fade (ooh, ooh) It's a price we pay when it comes to love And we'll take what comes, take what comes Feel the wind in your hair Feel the rush way up here We're walking the wire, love We're walking the wire, love We couldn't be higher, up We're walking the wire, wire, wire So look out down below Look out down below Look out down below Walking the wire, wire, wire So look out down below Oh, I'll take your hand when thunder roars And I hold you close, I'll stay the course I promise you from up above That we'll take what comes, take what comes, love We're walking the wire, love We're walking the wire, love We couldn't be higher, up (couldn't be, couldn't be) We're walking the wire, wire, wire So look out down below Look out down below (couldn't be, couldn't be) Look out down below Walking the wire, wire, wire So look out down below We're walking the wire We're walking the wire We're walking the wire, wire, wire "
Evolve,Rise Up,"I was hoping for an indication I was seeking higher elevation I've been shaken wakin' in the night light I've been breakin' hiding from the spotlight The more I stray, the less I fear And the more I reach, the more I fade away The darkness right in front of me Oh, it's calling out, and I won't walk away I would always open up the door Always looking up at higher floors Want to see it all, give me more (rise, rise up) I was always up for the making changes Walking down the street and meeting strangers Flipping through my life, turning pages (rise, rise up) Like a prayer that only needs a reason Like a hunter waiting for the season I was there, but I was always leaving I've been living, but I was never breathing The more I stray, the less I fear And the more I reach, the more I fade away The darkness right in front of me Oh, it's calling out, and I won't walk away I would always open up the door Always looking up at higher floors Want to see it all, give me more (rise, rise up) I was always up for the making changes Walking down the street meeting strangers Flipping through my life, turning pages (rise, rise up) I'm bursting like the 4th of July So color me and blow me away I'm broken in the prime of my life So embrace it and leave me to stray I would always open up the door Always looking up at higher floors Want to see it all, give me more (rise, rise up) I was always up for the making changes Walking down the street and meeting strangers Flipping through my life, turning pages (rise, rise up) I would always open up the door Always looking up at higher floors Want to see it all, give me more (rise, rise up) I was always up for the making changes Walking down the street and meeting strangers Flipping through my life, turning pages (rise, rise up) "
Evolve,I'll Make It Up to You,"Took your heart, took your hand Promised you all that I had Hoping that you understand I'm far from a perfect man 'Cause honey it's been a hard year It seems like we're going nowhere You're crying inside your bedroom Baby, I know it's not fair Lay with me for one more night I promise you I'll make it right I'll make it up to you Every night, I'll make it up to you Every night, I'll make it up to you I know you don't understand The vices that follow a man And in your eyes I can see The places that you'd rather be 'Cause honey it's been a hard year It seems like we're going nowhere You're crying inside your bedroom Baby, I know it's not fair I'll make it up to you Every night, I'll make it up to you Every night, I'll make it up to you In my darkest hour In the dead of the night I'll make it up to you Your hands are mine I'll make it up to you Promises are nothing more Than fleeting thoughts But you, you are my life bae I'll make it up to you Every night, I'll make it up to you Every night, I'll make it up to you Every night, I'll make it up to you Every night, I'll make it up to you Every night, I'll make it up to you "
Evolve,Yesterday,"Here's to my future Here's to my yesterday Here's to change Oh, here's to my yesterday No tomorrow without a yesterday Here's to my future Goodbye to yesterday All these years I've been searching For who I'm supposed to be All this time I've been wasting 'Cause I was right in front of me Oh, it's a crooked old tradition By a masterful magician But in the all this trouble I've met I haven't got one single regret, no Here's to my future Here's to my yesterday Here's to change Oh, here's to my yesterday No tomorrow without a yesterday Here's to my future Goodbye to yesterday Yesterday Oh, I'm a hopeless crash collision 'Cause I'm a hostage to my pride By my own volition I've been a saint, I've been the truth, I've been the lie Oh, it's a crooked old tradition By a masterful magician But in this all this trouble I've met I haven't got one single regret, no Here's to my future Here's to my yesterday Here's to change Oh, here's to my yesterday No tomorrow without a yesterday Here's to my future Goodbye to yesterday Yesterday A new day you can go You can do anything you wanna It's your play, swing low Go high anywhere you wanna You can reach for the Moon Anywhere your dreams could take you Go astray, fade away Just leave it to yesterday Here's to my future Here's to my yesterday Here's to change Oh, here's to my yesterday No tomorrow without a yesterday Here's to my future Goodbye to yesterday Yesterday "
Evolve,Mouth of the River,"Oh, the mouth of the river Oh, the mouth of the river Oh, the mouth of the river I wanna live a life like that Live the life of the faithful one Wanna bow to the floor With everybody else wanna be someone I wanna make some love I don't want no enemies Oh, it's the curse of the man Always living life, living life, living just to please Oh, the mouth of the river And the wrath of the giver With the hands of a sinner Oh, the mouth of the river Oh, the mouth of the river And the wrath of the giver With the hands of a sinner Oh, the mouth of the river Oh, I'm alkaline I'm always keeping to the basics I'm overboard I'm self-destructive And self-important And I'm anxious Oh, I'm self-assured I'm nervous And I'm pacing, oh, I'm pacing Oh, the mouth of the river And the wrath of the giver With the hands of a sinner Oh, the mouth of the river Oh, the mouth of the river And the wrath of the giver With the hands of a sinner Oh, the mouth of the river Oh, the mouth of the river Oh, the mouth of the river And I am going under Oh, I am going under I am going under Oh, I am going under I am going under Oh, the mouth of the river And the wrath of the giver With the hands of a sinner Oh, the mouth of the river Oh, the mouth of the river And the wrath of the giver With the hands of a sinner Oh, the mouth of the river Oh, the mouth of the river Oh, the mouth of the river "
Evolve,Thunder,"Just a young gun with a quick fuse I was uptight, wanna let loose I was dreaming of bigger things And wanna leave my own life behind Not a: Yes sir, not a follower Fit the box, fit the mold Have a seat in the foyer, take a number I was lightning before the thunder Thunder, thunder Thunder, thun-, thunder Thun-thun-thunder, thunder, thunder Thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, feel the thunder Lightning and the thunder Thunder, feel the thunder Lightning and the thunder Thunder, thunder Thunder Kids were laughing in my classes While I was scheming for the masses Who do you think you are? Dreaming 'bout being a big star They say you're basic, they say you're easy You're always riding in the back seat Now I'm smiling from the stage while You were clapping in the nosebleeds Thunder Thunder, thun-, thunder Thun-thun-thunder, thunder, thunder Thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, feel the thunder Lightning and the thunder Thunder, feel the thunder Lightning and the thunder, thunder Thunder, feel the thunder Lightning and the thunder, thunder Thunder, feel the thunder Lightning and the thunder, thunder Thunder, feel the thunder Lightning and the thunder, thunder Thunder, feel the thunder (feel the) Lightning and the thunder, thunder Thunder, feel the thunder (feel the) Lightning and the thunder, thunder Thunder, thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, thunder, thun-, thunder Thun-thun-thunder, thunder Thunder, thunder, thun-, thunder Thun-thun-thunder, thunder "
Evolve,Start Over,"Clenched teeth, no words All this distance taking its toll Speaking volumes Silence screaming over your words I never did you right, I know that Too many sleepless nights, I own that I said it time and time, I know that I wanna try again Can we start over? Can we start over? Can we start over Before it's over, over? Cold nights, cold sheets One more lonely empty hotel room What I'd give to Find my way back into you I never did you right, I know that Too many sleepless nights, I own that I said it time and time, I know that I wanna try again Can we start over? Can we start over? Can we start over Before it's over, over? Can we start over? Can we get closer? Can we start over Before it's over, over? Come alive, come alive, come alive again Come alive, come alive, come alive again Come alive, come alive, come alive again Come alive, come alive, come alive again Can we start, can we start over? Can we start over? Can we start over Before it's over, over? Can we start over? Can we get closer? Can we start over Before it's over, over? "
Evolve,Dancing in the Dark,"Don't throw my name 'round here like that You could get us in some trouble Talking that way and Monday you got me, that's a fact You could get me in some trouble Talking that way and I don't need nobody If you ever want to join me Baby, I'll be dancing in the dark If you ever want to join me Baby, I'll be dancing in the dark Dancing in the Join me Dancing in the Join me, baby Dancing in the Join me, baby Most days, I'm keeping to myself, living in my little bubble Pushing my weight and moving my body through the sea You could come join with me Moving like the weekend I don't need nobody If you ever want to join me Baby, I'll be dancing in the dark If you ever want to join me Baby, I'll be dancing in the dark Dancing in the Join me Dancing in the Join me, baby Dancing in the Join me, baby Dancing in the Join me, baby If you ever want to join me, baby I'll be dancing in the dark Dancing in the, join me, baby If you ever want to join me, baby, I'll be dancing in the dark Dancing in the "
Night Visions (Deluxe),Radioactive,"Oh, oh, oh Oh, oh, oh Oh, oh, oh Oh I'm waking up to ash and dust I wipe my brow and I sweat my rust I'm breathing in the chemicals I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse, ooh I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive I raise my flag, and dye my clothes It's a revolution, I suppose We're painted red to fit right in, ooh I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse, ooh I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive All systems go The Sun hasn't died Deep in my bones Straight from inside I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive "
Night Visions (Deluxe),Tiptoe,"In the morning light Let my roots take flight Watch me fall above Like a vicious dove They don’t see me come Who can blame them They never seem to catch my eye But I’ve never wondered why I won’t fall asleep I won’t fall asleep Hey yeah Don’t let ‘em know we’re coming Hey yeah Tip toe higher Take some time to Simmer down, keep your head down low Hey yeah Tip toe higher From your slanted view See the morning dew Sink into the soil Watch the water boil They won’t see me run Who can blame them? They never look to see me fly So I never had to lie I won’t fall asleep I won’t fall asleep Hey yeah Don’t let ‘em know we’re coming Hey yeah Tip toe higher Take some time to Simmer down, keep your head down low Hey yeah Tip toe higher Nobody else Nobody else Nobody else can take me higher Nobody else can take me higher Nobody else can take me higher Nobody else Hey yeah Don’t let ‘em know we’re coming Hey yeah Tip toe higher Take some time to Simmer down, keep your head down low Hey yeah Tip toe higher Hey yeah Don’t let ‘em know we’re coming Hey yeah Tip toe higher Take some time to Simmer down, keep your head down low Hey yeah Tip toe highe "
