Album,Musica,Letra
Mercury - Acts 1 & 2,Giants,"Take a hit of anything To escape it all I'm suffocating A sharpened blade of reality Sometimes I wanna hurt me I know it's hard to hear But I'm waiting for the new year Don't wanna waste my life chasing white Try to swim towards the light Coming up for air In the deepest of the deep ends I thought I'd learned it all But boom, the plot thickens Sleeping with giants I'm tiptoeing quietly Feeling it all, it's sobriety La, la, la, la, la, la, la Got so tired of feeling numb La, la, la, la, la, la, la Take a look at what I've become Sleeping with giants I'm tiptoeing quietly Feeling it all, It's sobriety I wanna make you proud of me But slowly, I am killing me Playing with chemistry Floating to the ceiling It's always rock n' roll 'Till you die, you know You been flying Now I'm shaking at night Sweating the sheets out Grinding my teeth out But still the world will glamorize it all Coming up for air In the deepest of the deep ends I thought I'd learned it all But boom, the plot thickens Sleeping with giants I'm tiptoeing quietly Feeling it all, it's sobriety La, la, la, la, la, la, la Got so tired of feeling numb La, la, la, la, la, la, la Take a look at what I've become Sleeping with giants I'm tiptoeing quietly Feeling it all, It's sobriety If I could leave one thing for you It's exactly what not to do I'm so proud of you Take a look what I've become Take a look what I've Coming up for air In the deepest of the deep ends I thought I'd learned it all But boom, the plot thickens Sleeping with giants I'm tiptoeing quietly Feeling it all, it's sobriety La, la, la, la, la, la, la Got so tired of feeling numb La, la, la, la, la, la, la Take a look at what I've become Sleeping with giants I'm tiptoeing quietly Feeling it all, It's sobriety "
Mercury - Acts 1 & 2,It's OK,"She could always hear every word they say Everybody walks like they just know the way Every single day, holding back the tears She'd never say a word 'Cause there's nobody that hears It's okay to be not okay It's just fine to be out of your mind Breathe in deep, just a day at a time 'Cause it's okay to be out of your mind, mind Mine is broken, how is yours? Sure it helps to hear the news And political discourse Fear, that is what he felt Every single day, 'cause all the boys would play Don't you dare be weak, emasculated freak Last up on the fence Tell me where's the sense? It's okay to be not okay It's just fine to be out of your mind Breathe in deep, just a day at a time 'Cause it's okay to be out of your mind I don't want this body I don't want this voice I don't wanna be here But I guess I have no choice Just let me live my truth That's all I wanna do Baby, you're not broken Just a little bit confused It's okay to be not okay (I need you here with me) It's just fine to be out of your mind (I can't do it all alone) Breathe in deep, just a day at a time (Just a day at a time) 'Cause it's okay to be out of your mind (It's okay, out of your mind) It's okay to be not okay (I need you here with me) It's just fine to be out of your mind (I can't do it all alone) Breathe in deep, just a day at a time 'Cause it's okay to be out of your mind (It's okay, come on, and on, and on, and on) La, la, la, la, la, la La, la, la, la, la, la La, la, la, la, la, la La, la, la, la, la, la La, la, la, la, la, la La, la, la, la, la, la La, la, la, la, la "
Mercury - Acts 1 & 2,Dull Knives,"I'm holding my breath, holding so tight Nothing is wrong, nothing is right I'm in the dark, looking for light Won't someone please save my life? Inside I'm a mess, but I don't let it show I'm just hanging on, but you'll never know I smile all day, and cry through the night Won't someone, please, save my life? It's fleeting Dull knives taking my life A slow burn fire from the inside Dull knives twisting my spine They're taking their time, time Till I lose my mind A smoldering flame, deep in my heart Barely a sign, it's barely a spark Holding on through, every night Won't someone, please, save my life? I'm crying for help, it's such a cliché Invisible pain, it's filling each day I open my mouth and feed you a lie Won't someone, please, save my life? It's fleeting, no repeating Dull knives taking my life A slow burn fire from the inside Dull knives twisting my spine And they're taking their time, time Till I lose my mind Dull knives Ripping from the inside Spare me the ride From the inside Dull knives twisting my spine And they're taking their time, time Till I lose my mind Dull knives "
Mercury - Acts 1 & 2,Follow You,"You know I got your number, number all night I'm always on your team, I got your back alright Taking those, taking those losses if it treats you right I want to put you into the spotlight If the world would only know what you've been holding back Heart attacks every night Oh, you know it's not right I'll follow you way down wherever you may go I'll follow you way down to your deepest low I'll always be around wherever life takes you You know I'll follow you Call you up, you've been cryin', cryin' all night You're only disappointed in yourself alright Taking those, taking those losses if it treats you right I wanna take you into the sunlight If the world would only know what you've been holding back Heart attacks every night Oh you know it's not right I'll follow you way down wherever you may go I'll follow you way down to your deepest low I'll always be around wherever life takes you You know I'll follow you You know I'll follow you Wherever life takes you, you know I'll follow you She's not the type to give herself enough love She live her life, hand in a tight glove I wish that I could fix it, I could fix it for you But instead I'll be right here comin' through (Right here, comin' through) I'll follow you way down wherever you may go I'll follow you way down to your deepest low I'll always be around wherever life takes you You know I'll follow you You know I'll follow you Wherever life takes you, you know I'll follow you "
Mercury - Acts 1 & 2,Cutthroat,"I've been waiting patiently I built this tower quietly And when my well of Wellbutrin is Running dry of serotonin I can say things I don't mean Or maybe it's the truth in me I feel it building, bubbling up My time is up I'm so misunderstood, but I live for this My money's good, and I came to win So step on up, and I promise you Only one of us gone' make it out alive And it's not you (cutthroat) Only one of us Only one of us gon' make it out alive And it's not you (cutthroat) Only one of us Only one of us gon' make it out alive I've been making my Gethsemane Since I was young my ancestry Was marching martyrdom across the Radadada dumbla plains of Utah I can't lie, I've been played By powerful people who get their way But I, in time, will climb my mountain I, in time, will rise I'm so misunderstood, but I live for this My money's good, and I came to win So step on up, and I promise you Only one of us gon' make it out alive And it's not you (cutthroat) Only one of us Only one of us gon' make it out alive And it's not you (cutthroat) Only one of us Only one of us gon' make it out alive Try me! Try me! Cutthroat Only one of us Only one of us Not you (cutthroat) Only one of us Only one of us Only one of us (Cutthroat) (Cutthroat) (Cutthroat) (Cutthroat) "
Mercury - Acts 1 & 2,No Time For Toxic People,"The way they look at me, I know exactly What they talk about when I'm not around Got no time for that, as a matter of fact Every day's my birthday Oh, I hope you heard me Take a look outside It's a beautiful day, yeah Yeah, it's a beautiful day, yeah I'm gonna keep it that way That way, ayy Take a real good look It's a beautiful day, yeah Yeah, it's a beautiful day, yeah I'm gonna keep it that way That way, ayy So spend your hours on What you think I done wrong I know I'm in your mind, 'ind, 'ind I've been here way too long I want to spend my life With those who've done me right Your heart is frozen over I'm a four leaf clover Take a look outside It's a beautiful day, yeah Yeah, it's a beautiful day, yeah I'm gonna keep it that way That way, ayy Take a real good look It's a beautiful day, yeah Yeah, it's a beautiful day, yeah I'm gonna keep it that way That way, ayy Tu-tu, tu-du-du, no time for toxic people Tu-tu, tu-du-du, no time for that (I-I-I) Tu-tu, tu-du-du, no time for toxic people I-I-I, I-I-I've got no time for toxic people Move along, move along, move along, oh Let me go to the clouds below 'Cause they're calling me Up to higher ground What a teacup sound Even mighty drown, oh Take a look outside It's a beautiful day, yeah Yeah, it's a beautiful day, yeah I'm gonna keep it that way That way, ayy Take a real good look It's a beautiful day, yeah Yeah, it's a beautiful day, yeah I'm gonna keep it that way That way, ayy Tu-tu, tu-du-du, no time for toxic people Tu-tu, tu-du-du, no time for that (I-I-I) Tu-tu, tu-du-du, no time for toxic people I-I-I, I-I-I've got no time for toxic people "
Mercury - Acts 1 & 2,One Day,"I know that one day I'll be that one Thing that makes you happy I know I'll keep you laughin' Your Sun on a clouded day The feel of a perfect wave Is crashin' upon your face Yeah, I know that one day, one day Birds outside Will sing me a song tonight I know that it's right on time, time Twee-da-da-da Life flies by the Moon And the midnight sky Is guiding me to your side, side I know that one day I'll be that one Thing that makes you happy I know I'll keep you laughin' Your Sun on a clouded day The feel of a perfect wave Is crashin' upon your face Yeah, I know that one day, one day Can we run away to a place That children play In the grassy fields? Twee-da-da-da I know they're tellin' you things That you put in your head, head Promise you that you are better off Without them I know that one day I'll be that one Thing that makes you happy I know I'll keep you laughin' Your Sun on a clouded day The feel of a perfect wave Is crashin' upon your face Yeah, I know that one day, one day One day I'll be that one Thing that makes you happy I know I'll keep you laughin' Your Sun on a clouded day The feel of a perfect wave Is crashin' upon your face Yeah, I know that one day, one day One day, one day "
Mercury - Acts 1 & 2,Bones,"Gimme, gimme, gimme some time to think I'm in the bathroom looking at me Face in the mirror is all I need (Ooh) Wait until the reaper takes my life Never gonna get me out alive I will live a thousand million lives (Ooh) My patience is waning, is this entertaining? Our patience is waning, is this entertaining? I got this feeling, yeah, you know Where I'm losing all control 'Cause there's magic in my bones I got this feeling in my soul Go ahead and throw your stones 'Cause there's magic in my bones Playing with thе stick of dynamite It was never gray in black and whitе There was never wrong till there was right (Ooh) Feeling like a boulder hurtling Seeing all the vultures circling Burning in the flames, I'm working in Turning in a bed, that's darkening My patience is waning, is this entertaining? Our patience is waning, is this entertaining? I got this feeling, yeah, you know Where I'm losing all control 'Cause there's magic in my bones (in my bones) I got this feeling in my soul Go ahead and throw your stones 'Cause there's magic in my bones 'Cause there's magic in my bones Look in the mirror of my mind Turning the pages of my life Walking the path so many paced a million times Drown out the voices in the air Leaving the ones that never cared Picking the pieces up and building to the sky My patience is waning, is this entertaining? My patience is waning, is this entertaining? I got this feeling, yeah, you know Where I'm losing all control 'Cause there's magic in my bones (magic in my bones) I got this feeling in my soul (soul) Go ahead and throw your stones 'Cause there's magic in my bones There goes my mind, (I) don't mind There goes my mind (there it goes, there it goes) There goes my mind, (I) don't mind There goes my mind (there it goes) 'Cause there's magic in my bones "
Mercury - Acts 1 & 2,Symphony,"Ever since I was young (coming up, coming up) Always marching to a drum (bra da dum, bra da dum) Always focused on me (one one, one one) Now I wish that I could hold someone (someone) So tell my mom I love her Call my baby sister Should've hugged and kissed her 'Cause life is just a mystery And it's gone before you know it So if you love me, won't you show it? 'Cause this life is one big symphony This night is one for you and me I'm the strings and you're the timpani You're my constant tambourine This life is one big symphony So glad I've got you next to me I'm the chords and you're the melody This life's one big symphony She was the piano, I'm the xylophone You can have the trumpet, I'm the saxophone Life is skipping rope (keep going, keep going) Finding solace in a note (dote, dote, dote, dote) Had to struggle when I was broke (so low, so low) Writing music just to cope (no hope, no hope) Yeah, life is just perspective Laughing when you've wrecked it Smiling when you kept it together You weathered the storm At the end of the play You sang all the way Doesn't matter how off-key If you did it your way This life is one big symphony This night is one for you and me I'm the strings and you're the timpani You're my constant tambourine This life is one big symphony So glad I've got you next to me I'm the chords and you're the melody This life's one big symphony Would you care if I played you the flute? See, it's my favorite one 'cause it's so delicate and beautiful I pull out the trombone if it's more suitable Wanna make you smile It's been a little while since I've seen the white of your teeth Been a hard year Lucky the guitar's here Life is just one big symphony This life is one big symphony This night is one for you and me I'm the strings and you're the timpani You're my constant tambourine This life is one big symphony So glad I've got you next to me I'm the chords and you're the melody This life's one big symphony "
Mercury - Acts 1 & 2,Sharks,"Trouble Blood is in the rocky waters Hide away your sons and daughters Eat you alive Levels Better put your head on swivels Dancin' with the very devil Butter to knife You think you're better than them Better than them You think they're really your friends Really your friends But when it comes to the end To the end You're just the same as them Same as them So lеt it go, let it go That's the way that it goes First you'rе in, then you're out Everybody knows You're hot, then you're cold You're a light in the dark Just you wait and you'll see That you're swimmin' with sharks He's comin' to get you Chick, chicka, woo, woo He's comin' to get you, get Woo Bubbles Drownin', you're seein' doubles Don't you let them see your struggles Hidin' your tears Crisis Take advantage of your niceness Cut you up in even slices Prey on your fears You think you're better than them Better than them You think they're really your friends Really your friends But when it comes to the end To the end You're just the same as them Same as them So let it go, let it go That's the way that it goes First you're in, then you're out Everybody knows You're hot, then you're cold You're a light in the dark Just you wait and you'll see That you're swimmin' with sharks (My blood is pumpin') he's comin' to get you (Don't take it from me) woo-woo (My blood is pumpin') he's comin' to get you, get (Don't take it from me) (My blood is pumpin') he's comin' to get you (Don't take it from me) woo-woo (My blood is pumpin') he's comin' to get you, get (Don't take it from me) Every time my heart is beatin', I can feel the recipe I wonder if my day is coming, blame it on the entropy My blood is pumpin', I can see the end is right in front of me Don't take it from me, I could be everything, everything (sharks) Don't take it from me My blood is pumpin', my blood is pumpin' (sharks) Don't take it from me, I could be everything, everything So let it go, let it go That's the way that it goes First you're in, then you're out Everybody knows You're hot, then you're cold You're a light in the dark Just you wait and you'll see That you're swimmin' with sharks (My blood is pumpin') he's comin' to get you (Don't take it from me) woo-woo (My blood is pumpin') he's comin' to get you, get (Don't take it from me) (My blood is pumpin') he's comin' to get you (Don't take it from me) woo-woo (My blood is pumpin') he's comin' to get you, get (Don't take it from me) "
Mercury - Acts 1 & 2,I Don't Like Myself,"One day, I'll change my ways Till then, I'm stuck in this space Shut down and hiding my face Tuned out and losing my faith Stand up Tired of being a victim You only on the outs if you with 'em Only hurts if you give 'em credence Give 'em reasons They're not better than you They're just a figment of imagination There are times when I don't like myself I believe all the things that they say about me (about me) I wanna love myself, just like everyone else But there are times when I don't like myself This life is beating me down But karma is coming around Tongue-tied, and you got the best of me A nightmare that's filling my dreams Stand up Tired of being a victim You only on the outs if you with 'em Only hurts if you give 'em credence Give 'em reasons They're not better than you They're just a figment of imagination There are times when I don't like myself (there are times) I believe all the things that they say about me (about me) I wanna love myself, just like everyone else But there are times when I don't like myself (I, da, da, da, da) I don't like myself (I, da, da, da, da) I don't like myself I'll walk through fire for this I will be the one to turn this car around 'Cause it's headed for disaster No happily ever after And I've got so much more to live for Than what you think of me There are times when I don't like myself (there are times) I believe all the things that they say about me (about me) I wanna love myself, just like everyone else But there are times when I don't like myself (I, da, da, da, da) I don't like myself (I, da, da, da, da) I don't like myself (I, da, I, da, I, da) I don't (I, da) Li-li-li-li-like myself (I, da) like myself (I, da) like myself (I, da) like myself "
Mercury - Acts 1 & 2,Blur,"I'm always looking for Something I can't afford Something to work for I don't know if it's healthy Oh, God help me I wanna be satisfied with what I have I'm always chasing higher placement This bump is not enough And when I (hoo) Hit the pavement Don't save me I'm such a waste of space I'm always waiting for the weekend I'm always hoping for a reset I will be happy when I'm older Why is everything never good enough for me? Why is everything never— I'm never satisfied I'm starting to blur Waiting for the tide to wash me out, clean me up 'Cause I am starting to blur Yeah, I'm starting to blur I'm always waking up Looking to fill my cup I'm such a loser 'Cause I got it all right in front of me Everything I could need I want to be satisfied with what I have If I put that smile on I turn my light on Maybe I believe it too But I don't know if my head's right I'm waking all night (You should give up the fight) I'm always waiting for the weekend I'm always hoping for a reset I will be happy when I'm older Why is everything never good enough for me? Why is everything never— I'm never satisfied I'm starting to blur Waiting for the tide to wash me out, clean me up 'Cause I am starting to blur I'm never satisfied I'm starting to blur Waiting for the tide to wash me out, clean me up 'Cause I am starting to blur "
Mercury - Acts 1 & 2,Higher Ground,"I know when my day will come Go back to the place that I came from Looking back, will I think that I did it right? I still don't sleep at night I got these symphonies stuck in my head And they don't leave Filling up the silence with these notes I don't want them to go Ghosts follow me around these days Haunting my head and house My mind is crazy loud But I won't give in to it Take it all in stride This life is such a ride I live until I die I walk into the fire I'm searching for the higher ground What a life I live until I die Won't fail unless I try I'm searching for the higher ground I've got that golden gun I was born as the seventh son Everything comes with conditions Everyone's got their dirty dishes I've got these memories Stuck in my head, and they won't leave Filling up my treetops with these crows I wish that they would go This life is such a ride I live until I die I walk into the fire I'm searching for the higher ground What a life I live until I die Won't fail unless I try I'm searching for the higher— This life is such a ride I live until I die I walk into the fire I'm searching for the higher ground What a life I live until I die Won't fail unless I try I'm searching for the higher ground Get it, got it, want it Tell me what to do and I'm on it I am the witness, the genesis, the reason Get it, got it, want it Tell me what to do and I'm on it I am the witness, the witness, the witness (the witness, the witness) This life is such a ride I live until I die I walk into the fire I'm searching for the higher ground What a life I live until I die Won't fail unless I try Bleeding, keep on breathing Higher ground (Hey, hey) Higher, higher Higher, higher ground Higher ground (Hey, hey) Higher, higher Higher, higher ground "
Mercury - Acts 1 & 2,Crushed,"I suppose She's supposed to be Exactly what they want her to be So pretty and pink Necklace and ring Don't be heard, just be seen But that's not who I am She said: I can feel, I can feel too much And I wish they'd go away, go away 'Cause it's crushing me It's crushing me Don't you know That you don't have a say? And the scarlet A on your neck, so pretty in red Eyes are all dead What they haven't said Gets stuck in your head The silence is deafening And your heart is bleeding out But they don't care, no, they never cared at all No, they never cared at all That's not who I am She said: I can feel, I can feel too much And I wish they'd go away, go away 'Cause it's crushing me Crushing me It's crushing me It's crushing me She just wants to be free Take it or leave it Eyes, like the sunrise Colorful rainbow She said: I can feel, I can feel too much And I wish it'd go away, go away 'Cause they're crushing me They're crushing me, oh (I can feel, I can feel too much) They're crushing me (I can feel, I can feel too much) oh, they're crushing me (I can feel, I can feel) crushing me Crash down on me Crash down on me "
Mercury - Acts 1 & 2,Take It Easy,"Last week, I came to you I didn't know what to do Yeah, man, sometimes I lie But sometimes I can tell the truth I want my money back Life's one big heart attack Yeah, man, my throat is dry Someday everybody's gonna die Take it easy on me I need some lullabies They tell me heaven's just a lie Well, I'm not surprised Tell me that you know, no, you don't Yeah, you're just like me Can't we just all hope for the best? Take it easy Money don't grow on trees I'm such a greedy thief Spend my life, I'm hunting Keep drinking just to find relief My auntie's pretty cool She did real well in school But she still don't know Where we really go Take it easy on me I need some lullabies They tell me heaven's just a lie Well, I'm not surprised Tell me that you know, no, you don't Yeah, you're just like me Can't we just all hope for the best? Take it easy Yeah, take it easy I don't wanna hear no more of that talk Not around here, come on Take it easy on me I need some lullabies They tell me heaven's just a lie Well, I'm not surprised Tell me that you know, no, you don't Yeah, you're just like me Can't we just all hope for the best? Take it easy Take it easy La, da-da-da, da-da-da Da-da-da-da-da-da La, da-da-da, da-da-da Da-da-da-da-da-da La, da-da-da, da-da "
Mercury - Acts 1 & 2,Waves,"Twenty-one years, she figured it out She started a job, she's feeling it out And for once it feels right Was feeling like the prime of her life But all of that is just a dream Shattered now, and everything's changed With one car and one night Was driving through the prime of your life Took your freedom There's no reason Just keep breathing Time doesn't hear if you ask it to wait La-da-da-da-da, la-da-da-da-da So own all your tears and just roll with the waves La-da-da-da-da, la-da-da-da-da Life, it could change, it could change in a day La-da-da-da-da, la-da-da-da-da So cherish your years and just roll with the waves La-da-da-da-da, la-da-da-da-da Time doesn't hear, so roll with the waves Eleven years old, my only friend You'd taken me in, but where was I When he took his life? Oh, I was singing in the prime of my life Where was I when you were calling? I can't go back Time doesn't hear if you ask it to wait La-da-da-da-da, la-da-da-da-da So own all your tears and just roll with the waves La-da-da-da-da, la-da-da-da-da Life it could change, it could change in a day La-da-da-da-da, la-da-da-da-da So cherish your years and just roll with the waves La-da-da-da-da, la-da-da-da-da Time doesn't hear, so roll with the waves Live in regret or eye to the future? I'd rather be here, thinking about the now 'Cause this breath could fade fast And this day could be your last La-da-da-da-da, la-da-da-da-da So own all your tears and just roll with the waves La-da-da-da-da, la-da-da-da-da Life it could change, it could change in a day La-da-da-da-da, la-da-da-da-da So cherish your years and just roll with the waves La-da-da-da-da, la-da-da-da-da Time doesn't hear, so roll with the waves La-da-da-da-da, la-da-da-da-da La-da-da-da-da, la-da-da-da-da "
Mercury - Acts 1 & 2,I'm Happy,"What's wrong with me? Is there somebody else inside my head That doesn't want me to be happy? I know my rights, I live until I die I've got this bed Each night I go to sleep and dream I'm swimming in the deep end You're my buoy and I'm sinking Life flies by me, but I'm thinking You saved my life and now I'm happy 'Cause finally I feel I got it all Started out with nothing at all And even when I might fall down I know my luck come back around They telling me That I should love myself Sometimes I fail But then you hit me like a whiplash Yelling in my corner She's a wild one, yes, I should warn ya Life flies by me every morning You saved my life and now I'm happy 'Cause finally I feel I got it all Started out with nothing at all And even when I might fall down I know my luck come back around They tell me to write a paragraph of everything I Love about me Write a paragraph and send it in the mail To a future me, that's trying desperately To start a family Teach them to love themselves Teach them to love themselves Teach them to love themselves I'm happy 'Cause finally I feel I got it all Started out with nothing at all And even when I might fall down I know my luck come back around I'm happy 'Cause finally I feel I got it all Started out with nothing at all And even when I might fall down I know my luck come back around (Happy, happy, happy, happy) (Happy, happy, happy, happy) (Ha—) "
Mercury - Acts 1 & 2,Ferris Wheel,"He's never gonna treat you right, I'm sure He's never gonna kiss you like he should He's never gonna tuck you in at night You've always been afraid to settle down And I don't even blame you 'cause look how These boys are now Promise that I'll make you feel Like we're on a ferris wheel We're always young and innocent I promise you when things get hard Our love will be strong enough I know we'll last, I'm confident I don't mean to speak in fairy tales But we have had some heaven and some hell And I can only speak for myself And I'm speechless You've always been afraid to claim this town And I don't even blame you 'cause look how These boys are now Promise that I'll make you feel Like we're on a ferris wheel We're always young and innocent I promise you when things get hard Our love will be strong enough I know we'll last, I'm confident 'Cause when birds fly south, it's a beautiful thing Buy a big white house and a diamond ring Leave it all behind, leave it all behind 'Cause when birds fly south, it's a beautiful thing Buy a big white house and a diamond ring Leave it all behind, leave it all behind Promise that I'll make you feel Like we're on a ferris wheel We're always young and innocent I promise you when things get hard Our love will be strong enough I know we'll last, I'm confident I know we'll last, I'm confident "
Mercury - Acts 1 & 2,Peace Of Mind,"I had a dream that I lost everything (everything) All that I'd worked for was gone Goodness me (goodness me) But I felt the same as I do right now Everything is meaningless At least that's how it feels Feels real bad Try as I might I can't get no peace of mind I try every time But can't get no peace of mind (mind) I've got so much to be happy about (happy about) I'm always focused on things that amount to nothing Yeah, I think I'm a little depressed (depressed, depressed) Everything is meaningless At least that's how it feels Feels real bad Try as I might I can't get no peace of mind I try every time But can't get no peace of mind (mind) No peace of mind Try as I might I can't get no peace of mind (mind) But then you came into my life You made me laugh for the first time In a real long while Try as I might I can't get no peace of mind I try every time But can't get no peace of mind (mind) No peace of mind (peace of mind) Try as I might I can't get no peace of mind (peace of mind) Do, do-do-do Do-do-do-do-do-do-do Do, do-do-do Do-do-do-do-do-do-do "
Mercury - Acts 1 & 2,Sirens,"Fall right down to the bottom Boy with a motto Stay but I oughta leave and Trust me, my heart bleeds I feel everything, I— Drip, drop, drink out of the bottle Boy with a heart of gold Get run over by heaven knows what Weary solider, I get older Life gets colder Sometimes I get a little bit scared at night I get a little preoccupied The sirens in my mind The sirens in my mind I just wanna be good again I wanna make it to the end The sirens in my mind The sirens in my mind Autumn, stuck in the grotto Been trying for the lottery but never win My heart bleeds I feel everything, I— Drop, drop way down to the bottom Boy with a heart of gold Get run over by heaven knows what Weary solider, I get older Life gets colder Sometimes I get a little bit scared at night I get a little preoccupied The sirens in my mind The sirens in my mind I just wanna be good again I wanna make it to the end The sirens in my mind The sirens in my mind (Oh, sirens in my mind, the sirens in my mind) Sirens, sirens Sirens, sirens Sirens in my mind "
Mercury - Acts 1 & 2,Tied,All this time I've spent with you All that we've been through Still we're holding on All this time I've spent with you I am tied to you You call me up Just to say You think we're better off this way Leaves may fall Seasons change Yet we remain A year away A year alone The tears have fall But we have grown The Sun will rise The seasons change And here we are All this time I've spent with you All that we've been through And we're holding on All this time I've spent with you Still I am tied to you I call you up just to say How much I've thought of you today The leaves have fall The seasons change Yet we remain A year has passed Our children grow And in their eyes I see your soul The Sun grows bright The rain has gone And here we are All this time I've spent with you All that we've been through And still we're holding on All this time I've spent with you I am tied to you Time will heal our hearts but Were we doomed from the start or Were we planned in the stars or Is there any God at all? Still we're holding on All this time I've spent with you All that we've been through Still we're holding on All this time I've spent with you I am tied to you 
Mercury - Acts 1 & 2,Younger,"Seems there's something in the air today It's got me feeling, oh, a certain way Seems like lately I've been on the run It's got me reeling every night I'm done Keep thinking what am I supposed to do My body's not working like it used to And these bills keep piling up on me Remember when I had no responsibilities So take me back when I was younger And I was still hungry Take me back when I was younger Yeah, I got the world at my feet Just try and stop me (just try and stop me) Yeah, take me back when I was younger Watching all my friends pass away When they promised me that they would be here today I wish that I could put a force field Around every single one of us I would protect you from everything (I'd put a force field) all around us And ground us forever and ever I keep on walking down the same streets (same streets) I keep on acting like I never left (like I never left) I keep on walking down the same streets (same streets) And I'll never leave So take me back when I was younger And I was still hungry Take me back when I was younger Yeah, I got the world at my feet Just try and stop me (just try and stop me) Yeah, take me back when I was younger I don't want to be forever But I don't want to grow older Oh, take me back when I was younger When I was still hungry When I still had it in me Take me (Just try and stop me) so take me back when I was younger (I keep on walking down the same streets) and I was still hungry (I keep on acting like I never left) take me back when I was younger (I keep on walking down the same streets) yeah, I got the world at my feet Just try and stop me (and I'll never leave) Take me back when I was younger "
Mercury - Acts 1 & 2,I Wish,"I never called you and now it's too late To say all the words that I've wanted to say The doctor said: Oh, there's a fight up ahead I should've been there by your hospital bed So it rains every day, oh, it rains every day No, I haven't got the words to say How I wish I was a better friend Before it was too late I wish that I would've been there in the end I wish I was a better friend I wasn't there when you said your goodbye and I Replay in my mind 'bout a thousand times I wasn't there for those rivers you cried I was always too busy, no, I didn't make the time So it rains every day, oh, it rains every day I haven't got the words to say How I wish I was a better friend Before it was too late I wish that I would've been there in the end I wish I was a better friend And every day, I wish you were here Oh, every day I wish Oh, every minute of every year I swear I feel you near Near me How I wish I was (how I wish) a better friend (better friend) Before it was too late I wish that I would've been there in the end I wish I was a better friend "
Radioactive,Radioactive,"Oh, oh, oh Oh, oh, oh Oh, oh, oh Oh I'm waking up to ash and dust I wipe my brow and I sweat my rust I'm breathing in the chemicals I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse, ooh I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive I raise my flag, and dye my clothes It's a revolution, I suppose We're painted red to fit right in, ooh I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse, ooh I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive All systems go The Sun hasn't died Deep in my bones Straight from inside I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive "
Radioactive,Radioactive (Instrumental),"Oh, oh, oh Oh, oh, oh Oh, oh, oh Oh I'm waking up to ash and dust I wipe my brow and I sweat my rust I'm breathing in the chemicals I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse, ooh I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive I raise my flag, and dye my clothes It's a revolution, I suppose We're painted red to fit right in, ooh I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse, ooh I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive All systems go The Sun hasn't died Deep in my bones Straight from inside I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive "
Hear Me EP,Hear Me,"Try to hear my voice You can leave, it's your choice Maybe if I fall asleep, I won't breathe right Maybe if I leave tonight, I won't come back I said it before, I won't say it again Love is a game to you, it's not pretend Maybe if I fall asleep, I won't breathe right Can nobody hear me? I've got a lot that's on my mind I cannot breathe Can you hear it too? You kiss and you kiss And you love and you love You've got a history list And the rest is above And if you're warm, then you can't relate to me From the floor to the floor And the sky to the sky You've got to love and adore and the rest is a lie And if you're warm, then you can't relate to me I said it before, I won't say it again Love is a game to you, it's not pretend Maybe if I fall asleep, I won't breathe right Can nobody hear me? I've got a lot that's on my mind I cannot breathe Can you hear it too? Leave your shoes at the door, baby I am all you adore, lately Come with me and we will run away Can nobody hear me? I've got a lot that's on my mind I cannot breathe Can you hear it too? Can nobody hear me? I've got a lot that's on my mind I cannot breathe Can you hear it too? "
